Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C16, C17, C22, C23, C24, C28, C29, C30, C4, C7",0201,12,470nF,
"C11, C19, C25, C3, C6, C9",0805,6,100uF,
"C12, C15, C2, C20, C21, C26, C27, C5, C8",0201,9,4.7uF,
"C13, C14, C31, C35, C36, C38, C39, C40, C41, C42, C43",0402,11,470nF,
C18,0402,1,15pF,
"C32, C33, C34, C37, C44, C45, C46, C48, C49, C51, C52, C54, C55",0603,13,10uF,
"C47, C50, C53",0402,3,10pF,
"D1, D2, D3, D4, D5",0603,5,LED,
J1,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,
J7,PinHeader_2x07_P2.54mm_Horizontal,1,Conn_02x07_Odd_Even,
J8,Hirose_FH12-40S-0.5SH_1x40-1MP_P0.50mm_Horizontal,1,Conn_01x40,
L1,L_Wuerth_MAPI-3010,1,10uH,744025100
"R1, R2, R3, R4",0402,4,100R,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R33, R35, R40, R41, R42, R43, R52, R53, R54, R7, R8, R9",0402,22,4.7K,
R20,0402,1,0Ω,
"R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32",0402,12,33R,
"R36, R37, R38, R39, R5, R6",0402,6,200R,
R44,0402,1,499K,
"R45, R47, R49",0402,3,160K,
R46,0402,1,200K,
R48,0402,1,40K,
R50,0402,1,1.07M,
R51,0402,1,71.5K,
"SW1, SW2, SW3",SW_SPST_PTS645,3,SW_Push,
SW4,SW_DIP_SPSTx03_Slide_KingTek_DSHP03TJ_W5.25mm_P1.27mm_JPin,1,SW_DIP_x03,416131160803
"TP1, TP2",TestPoint_Pad_D1.0mm,2,TestPoint,
"TP3, TP4, TP5, TP6",MountingHole_2.2mm_M2_Pad_Via,4,MH,
U1,CSGA225_XIL,1,XC7S15-2CSGA225I,
U2,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4mm,1,IS25LP032D,
"U3, U4",BGA-25-6x8mm,2,S27KL0642DPBHI020,
"U5, U6, U7",WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,3,TLV76701DRVR,
U8,SOT-23-6,1,TLV61046ADB,
X1,Oscillator_SMD_SeikoEpson_SG8002LB-4Pin_5.0x3.2mm,1,SG-5032CBN,
